Station,Year,Rides
40600,2001,79032
40600,2002,65078
40600,2003,56902
40600,2004,70586
40600,2005,90417
40600,2006,107201
40600,2007,114433
40600,2008,130934
40600,2009,127890
40600,2010,129206
40600,2011,135912
40600,2012,141187
40600,2013,155403
40600,2014,173759
40600,2015,174320
40600,2016,163337
40600,2017,145417
40610,2001,388665
40610,2002,379939
40610,2003,374284
40610,2004,363036
40610,2005,378168
40610,2006,396955
40610,2007,400170
40610,2008,406504
40610,2009,400398
40610,2010,394366
40610,2011,396982
40610,2012,401218
40610,2013,396954
40610,2014,391299
40610,2015,393399
40610,2016,389944
40610,2017,381775
40630,2001,2260540
40630,2002,2273545
40630,2003,2236388
40630,2004,2227040
40630,2005,2309574
40630,2006,2371804
40630,2007,1998138
40630,2008,1976991
40630,2009,2380231
40630,2010,2469917
40630,2011,2559432
40630,2012,2656641
40630,2013,2554556
40630,2014,2583811
40630,2015,2566958
40630,2016,2747593
40630,2017,2436822
40640,2001,1181612
40640,2002,1208269
40640,2003,1190754
40640,2004,1299648
40640,2005,1426580
40640,2006,1591015
40640,2007,1697834
40640,2008,1731285
40640,2009,1717751
40640,2010,1814613
40640,2011,1906461
40640,2012,2036939
40640,2013,2110881
40640,2014,2128056
40640,2015,394438
40640,2016,253
40640,2017,135
40650,2001,1219447
40650,2002,1270958
40650,2003,1261658
40650,2004,1328340
40650,2005,1427784
40650,2006,1462764
40650,2007,1315736
40650,2008,1246434
40650,2009,1463170
40650,2010,1536420
40650,2011,1819767
40650,2012,1863081
40650,2013,1919729
40650,2014,2050476
40650,2015,2146351
40650,2016,2128272
40650,2017,1803894
40660,2001,952518
40660,2002,975946
40660,2003,994156
40660,2004,969123
40660,2005,1032014
40660,2006,1086337
40660,2007,1045295
40660,2008,1138616
40660,2009,1164422
40660,2010,1170766
40660,2011,1279600
40660,2012,1345306
40660,2013,1328802
40660,2014,1329982
40660,2015,1242738
40660,2016,1342620
40660,2017,1218018
40670,2001,876739
40670,2002,969561
40670,2003,996677
40670,2004,1059652
40670,2005,1145476
40670,2006,1194182
40670,2007,1152946
40670,2008,1285665
40670,2009,1236314
40670,2010,1319511
40670,2011,1422198
40670,2012,1528843
40670,2013,1562655
40670,2014,1932423
40670,2015,1689181
40670,2016,1627038
40670,2017,1486863
40680,2001,2161145
40680,2002,2066834
40680,2003,1999740
40680,2004,1973387
40680,2005,2046444
40680,2006,2199867
40680,2007,2530403
40680,2008,2578327
40680,2009,2338823
40680,2010,2231828
40680,2011,2259448
40680,2012,2267128
40680,2013,2178272
40680,2014,2131441
40680,2015,2788254
40680,2016,2808380
40680,2017,2427894
40690,2001,221644
40690,2002,231719
40690,2003,235949
40690,2004,231254
40690,2005,234100
40690,2006,243444
40690,2007,235530
40690,2008,259474
40690,2009,265195
40690,2010,263261
40690,2011,276118
40690,2012,273200
40690,2013,284376
40690,2014,303799
40690,2015,299417
40690,2016,285226
40690,2017,259670
40700,2001,395771
40700,2002,379505
40700,2003,371615
40700,2004,374016
40700,2005,404276
40700,2006,446331
40700,2007,432743
40700,2008,441526
40700,2009,423431
40700,2010,446382
40700,2011,449424
40700,2012,452929
40700,2013,450871
40700,2014,465524
40700,2015,456044
40700,2016,436103
